"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Shabbat Mevarchim Chodesh Sh'vat","1/25/2025",,,,"true","Molad Sh'vat: Wed; 17 minutes and 17 chalakim after 6:00","3",""
"Rosh Chodesh Sh'vat","1/30/2025",,,,"true","Start of month of Sh'vat on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Shirah","2/8/2025",,,,"true","Shabbat of Song","3","Jewish Holidays"
"Tu BiShvat","2/13/2025",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Adar","2/22/2025",,,,"true","Molad Adar: Thu; 2 minutes and 0 chalakim after 19:00","3",""
"Rosh Chodesh Adar","2/28/2025",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Shekalim","3/1/2025",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","3/1/2025",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Zachor","3/8/2025",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","3/13/2025",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","3/13/2025",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","3/14/2025",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Shushan Purim","3/15/2025",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Purim Meshulash","3/16/2025",,,,"true","Triple Purim; spanning 3 days in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/22/2025",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","3/29/2025",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Nisan","3/29/2025",,,,"true","Molad Nisan: Sat; 46 minutes and 1 chalakim after 7:00","3",""
"Rosh Chodesh Nisan","3/30/2025",,,,"true","Start of month of Nisan on the Hebrew calendar","3","Jewish Holidays"
"Yom HaAliyah","4/8/2025",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Ta'anit Bechorot","4/10/2025",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Shabbat HaGadol","4/12/2025",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Erev Pesach","4/12/2025",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/13/2025",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
